yahoo_ticker,ticker,sector
RELIANCE.NS,RELIANCE,Energy
HDFCBANK.NS,HDFCBANK,Banking
ICICIBANK.NS,ICICIBANK,Banking
SBIN.NS,SBIN,Banking
AXISBANK.NS,AXISBANK,Banking
KOTAKBANK.NS,KOTAKBANK,Banking
INDUSINDBK.NS,INDUSINDBK,Banking
BANKBARODA.NS,BANKBARODA,Banking
PNB.NS,PNB,Banking
CANBK.NS,CANBK,Banking
TCS.NS,TCS,IT
INFY.NS,INFY,IT
HCLTECH.NS,HCLTECH,IT
WIPRO.NS,WIPRO,IT
TECHM.NS,TECHM,IT
LTIM.NS,LTIM,IT
MARUTI.NS,MARUTI,Auto
M&M.NS,M&M,Auto
TATAMOTORS.NS,TATAMOTORS,Auto
EICHERMOT.NS,EICHERMOT,Auto
HEROMOTOCO.NS,HEROMOTOCO,Auto
BAJAJ-AUTO.NS,BAJAJ-AUTO,Auto
SUNPHARMA.NS,SUNPHARMA,Pharma
CIPLA.NS,CIPLA,Pharma
DRREDDY.NS,DRREDDY,Pharma
DIVISLAB.NS,DIVISLAB,Pharma
APOLLOHOSP.NS,APOLLOHOSP,Healthcare
TATASTEEL.NS,TATASTEEL,Metal
JSWSTEEL.NS,JSWSTEEL,Metal
HINDALCO.NS,HINDALCO,Metal
COALINDIA.NS,COALINDIA,Mining
ONGC.NS,ONGC,Energy
NTPC.NS,NTPC,Utilities
POWERGRID.NS,POWERGRID,Utilities
ADANIENT.NS,ADANIENT,Conglomerate
ADANIPORTS.NS,ADANIPORTS,Infrastructure
LT.NS,LT,Infrastructure
BHARTIARTL.NS,BHARTIARTL,Telecom
ITC.NS,ITC,FMCG
HINDUNILVR.NS,HINDUNILVR,FMCG
NESTLEIND.NS,NESTLEIND,FMCG
TITAN.NS,TITAN,Consumer
ASIANPAINT.NS,ASIANPAINT,Consumer
ULTRACEMCO.NS,ULTRACEMCO,Cement
GRASIM.NS,GRASIM,Diversified
BAJFINANCE.NS,BAJFINANCE,Finance
BAJAJFINSV.NS,BAJAJFINSV,Finance
HDFCLIFE.NS,HDFCLIFE,Insurance
SBILIFE.NS,SBILIFE,Insurance
SHRIRAMFIN.NS,SHRIRAMFIN,Finance
