date,value,indicator,country
1960,37029883876.1839,NY.GDP.MKTP.CD,IND
1961,39232435784.0358,NY.GDP.MKTP.CD,IND
1962,42161481858.0819,NY.GDP.MKTP.CD,IND
1963,48421923459.1235,NY.GDP.MKTP.CD,IND
1964,56480289940.9899,NY.GDP.MKTP.CD,IND
1965,59556105229.0052,NY.GDP.MKTP.CD,IND
1966,45581230504.071,NY.GDP.MKTP.CD,IND
1967,50134942204.0,NY.GDP.MKTP.CD,IND
1968,53085455870.6667,NY.GDP.MKTP.CD,IND
1969,58447995017.3333,NY.GDP.MKTP.CD,IND
1970,62422483054.6667,NY.GDP.MKTP.CD,IND
1971,67351404351.833,NY.GDP.MKTP.CD,IND
1972,71464700666.9869,NY.GDP.MKTP.CD,IND
1973,85517673172.5513,NY.GDP.MKTP.CD,IND
1974,99526597933.6331,NY.GDP.MKTP.CD,IND
1975,98473832017.3242,NY.GDP.MKTP.CD,IND
1976,102716451979.68,NY.GDP.MKTP.CD,IND
1977,121486641441.309,NY.GDP.MKTP.CD,IND
1978,137302319828.995,NY.GDP.MKTP.CD,IND
1979,152995442497.709,NY.GDP.MKTP.CD,IND
1980,186328579302.068,NY.GDP.MKTP.CD,IND
1981,193491368445.573,NY.GDP.MKTP.CD,IND
1982,200715624830.902,NY.GDP.MKTP.CD,IND
1983,218262146413.158,NY.GDP.MKTP.CD,IND
1984,212157645177.652,NY.GDP.MKTP.CD,IND
1985,232511554840.372,NY.GDP.MKTP.CD,IND
1986,248985994040.59,NY.GDP.MKTP.CD,IND
1987,279033584092.223,NY.GDP.MKTP.CD,IND
1988,296589670895.932,NY.GDP.MKTP.CD,IND
1989,296042052944.66,NY.GDP.MKTP.CD,IND
1990,320979026420.035,NY.GDP.MKTP.CD,IND
1991,270105341879.226,NY.GDP.MKTP.CD,IND
1992,288208070278.013,NY.GDP.MKTP.CD,IND
1993,279295648982.529,NY.GDP.MKTP.CD,IND
1994,327274843459.429,NY.GDP.MKTP.CD,IND
1995,360281909643.489,NY.GDP.MKTP.CD,IND
1996,392896866204.516,NY.GDP.MKTP.CD,IND
1997,415867563592.829,NY.GDP.MKTP.CD,IND
1998,421351317224.941,NY.GDP.MKTP.CD,IND
1999,458821052615.79,NY.GDP.MKTP.CD,IND
2000,468395521654.458,NY.GDP.MKTP.CD,IND
2001,485440139204.171,NY.GDP.MKTP.CD,IND
2002,514939140318.756,NY.GDP.MKTP.CD,IND
2003,607700687237.318,NY.GDP.MKTP.CD,IND
2004,709152728830.775,NY.GDP.MKTP.CD,IND
2005,820383763511.445,NY.GDP.MKTP.CD,IND
2006,940259888787.721,NY.GDP.MKTP.CD,IND
2007,1216736438834.96,NY.GDP.MKTP.CD,IND
2008,1198895139005.92,NY.GDP.MKTP.CD,IND
2009,1341888016994.9,NY.GDP.MKTP.CD,IND
2010,1675615519484.96,NY.GDP.MKTP.CD,IND
2011,1823051829894.55,NY.GDP.MKTP.CD,IND
2012,1827637590410.41,NY.GDP.MKTP.CD,IND
2013,1856721507621.58,NY.GDP.MKTP.CD,IND
2014,2039126479154.52,NY.GDP.MKTP.CD,IND
2015,2103588360044.94,NY.GDP.MKTP.CD,IND
2016,2294796885663.16,NY.GDP.MKTP.CD,IND
2017,2651474262755.45,NY.GDP.MKTP.CD,IND
2018,2702929641648.74,NY.GDP.MKTP.CD,IND
2019,2835606256558.19,NY.GDP.MKTP.CD,IND
2020,2674851578587.27,NY.GDP.MKTP.CD,IND
2021,3167270623260.47,NY.GDP.MKTP.CD,IND
2022,3249938492013.47,NY.GDP.MKTP.CD,IND
2023,3500906030644.76,NY.GDP.MKTP.CD,IND
2024,3760813470500.86,NY.GDP.MKTP.CD,IND
2025,3956067115771.63,NY.GDP.MKTP.CD,IND
