date,value,indicator,country
1960,1.77987784677391,FP.CPI.TOTL.ZG,IND
1961,1.69521293914433,FP.CPI.TOTL.ZG,IND
1962,3.63221497106987,FP.CPI.TOTL.ZG,IND
1963,2.94616135685225,FP.CPI.TOTL.ZG,IND
1964,13.3552611508153,FP.CPI.TOTL.ZG,IND
1965,9.47475859170695,FP.CPI.TOTL.ZG,IND
1966,10.8018483489341,FP.CPI.TOTL.ZG,IND
1967,13.062202477797,FP.CPI.TOTL.ZG,IND
1968,3.23741242627507,FP.CPI.TOTL.ZG,IND
1969,-0.584136610466281,FP.CPI.TOTL.ZG,IND
1970,5.09226161997545,FP.CPI.TOTL.ZG,IND
1971,3.07993868406546,FP.CPI.TOTL.ZG,IND
1972,6.44209746158235,FP.CPI.TOTL.ZG,IND
1973,16.9408159791736,FP.CPI.TOTL.ZG,IND
1974,28.5987340775089,FP.CPI.TOTL.ZG,IND
1975,5.74843029767442,FP.CPI.TOTL.ZG,IND
1976,-7.63394763392881,FP.CPI.TOTL.ZG,IND
1977,8.30747009171166,FP.CPI.TOTL.ZG,IND
1978,2.52304875695179,FP.CPI.TOTL.ZG,IND
1979,6.27568336762338,FP.CPI.TOTL.ZG,IND
1980,11.3460734795095,FP.CPI.TOTL.ZG,IND
1981,13.112546897642,FP.CPI.TOTL.ZG,IND
1982,7.89074279377487,FP.CPI.TOTL.ZG,IND
1983,11.8680812986734,FP.CPI.TOTL.ZG,IND
1984,8.31890711860072,FP.CPI.TOTL.ZG,IND
1985,5.55642423236554,FP.CPI.TOTL.ZG,IND
1986,8.72972072702581,FP.CPI.TOTL.ZG,IND
1987,8.80112581251833,FP.CPI.TOTL.ZG,IND
1988,9.38347186185336,FP.CPI.TOTL.ZG,IND
1989,7.07428002942296,FP.CPI.TOTL.ZG,IND
1990,8.97123250273255,FP.CPI.TOTL.ZG,IND
1991,13.8702461773683,FP.CPI.TOTL.ZG,IND
1992,11.7878170418134,FP.CPI.TOTL.ZG,IND
1993,6.32689048779867,FP.CPI.TOTL.ZG,IND
1994,10.2479355556119,FP.CPI.TOTL.ZG,IND
1995,10.2248861637545,FP.CPI.TOTL.ZG,IND
1996,8.97715233826453,FP.CPI.TOTL.ZG,IND
1997,7.16425211462721,FP.CPI.TOTL.ZG,IND
1998,13.2308389767977,FP.CPI.TOTL.ZG,IND
1999,4.6698203803759,FP.CPI.TOTL.ZG,IND
2000,4.0094359104519,FP.CPI.TOTL.ZG,IND
2001,3.77929312235637,FP.CPI.TOTL.ZG,IND
2002,4.29715203929562,FP.CPI.TOTL.ZG,IND
2003,3.80585899528853,FP.CPI.TOTL.ZG,IND
2004,3.76725173477517,FP.CPI.TOTL.ZG,IND
2005,4.24634362031924,FP.CPI.TOTL.ZG,IND
2006,5.79652337561634,FP.CPI.TOTL.ZG,IND
2007,6.37288135593231,FP.CPI.TOTL.ZG,IND
2008,8.34926704907575,FP.CPI.TOTL.ZG,IND
2009,10.8823529411764,FP.CPI.TOTL.ZG,IND
2010,11.9893899204245,FP.CPI.TOTL.ZG,IND
2011,8.9117933648336,FP.CPI.TOTL.ZG,IND
2012,9.47899691419793,FP.CPI.TOTL.ZG,IND
2013,10.0178784746104,FP.CPI.TOTL.ZG,IND
2014,6.66565671867899,FP.CPI.TOTL.ZG,IND
2015,4.90697344127249,FP.CPI.TOTL.ZG,IND
2016,4.94821634062134,FP.CPI.TOTL.ZG,IND
2017,3.32817337461305,FP.CPI.TOTL.ZG,IND
2018,3.93882646691643,FP.CPI.TOTL.ZG,IND
2019,3.72950573539123,FP.CPI.TOTL.ZG,IND
2020,6.6234367762853,FP.CPI.TOTL.ZG,IND
2021,5.13140747176364,FP.CPI.TOTL.ZG,IND
2022,6.69903414079858,FP.CPI.TOTL.ZG,IND
2023,5.64914318907925,FP.CPI.TOTL.ZG,IND
2024,4.95303550973661,FP.CPI.TOTL.ZG,IND
2025,2.39884954182294,FP.CPI.TOTL.ZG,IND
